08:00,L1,22
08:00,L2,19
08:00,L3,94
08:00,L4,79
08:00,L5,5
08:00,L6,23
08:00,L7,64
08:00,L8,76
08:00,L9,46
08:00,L10,102
08:05,L1,102
08:05,L2,32
08:05,L3,57
08:05,L4,59
08:05,L5,26
08:05,L6,39
08:05,L7,45
08:05,L8,18
08:05,L9,86
08:05,L10,43
08:10,L1,46
08:10,L2,87
08:10,L3,91
08:10,L4,56
08:10,L5,75
08:10,L6,96
08:10,L7,98
08:10,L8,80
08:10,L9,19
08:10,L10,30
08:15,L1,78
08:15,L2,25
08:15,L3,22
08:15,L4,86
08:15,L5,96
08:15,L6,33
08:15,L7,26
08:15,L8,56
08:15,L9,72
08:15,L10,6
08:20,L1,96
08:20,L2,81
08:20,L3,69
08:20,L4,18
08:20,L5,101
08:20,L6,62
08:20,L7,65
08:20,L8,32
08:20,L9,37
08:20,L10,59
08:25,L1,41
08:25,L2,43
08:25,L3,55
08:25,L4,17
08:25,L5,95
08:25,L6,31
08:25,L7,69
08:25,L8,38
08:25,L9,62
08:25,L10,78
08:30,L1,88
08:30,L2,6
08:30,L3,8
08:30,L4,5
08:30,L5,23
08:30,L6,104
08:30,L7,25
08:30,L8,42
08:30,L9,9
08:30,L10,41
08:35,L1,51
08:35,L2,32
08:35,L3,61
08:35,L4,84
08:35,L5,28
08:35,L6,61
08:35,L7,33
08:35,L8,82
08:35,L9,71
08:35,L10,76
08:40,L1,85
08:40,L2,52
08:40,L3,102
08:40,L4,87
08:40,L5,65
08:40,L6,75
08:40,L7,24
08:40,L8,82
08:40,L9,17
08:40,L10,45
08:45,L1,79
08:45,L2,13
08:45,L3,53
08:45,L4,41
08:45,L5,32
08:45,L6,74
08:45,L7,36
08:45,L8,61
08:45,L9,101
08:45,L10,75
08:50,L1,64
08:50,L2,102
08:50,L3,90
08:50,L4,79
08:50,L5,15
08:50,L6,41
08:50,L7,52
08:50,L8,102
08:50,L9,93
08:50,L10,60
08:55,L1,11
08:55,L2,10
08:55,L3,22
08:55,L4,51
08:55,L5,59
08:55,L6,11
08:55,L7,68
08:55,L8,9
08:55,L9,20
08:55,L10,54
